fips,population,area,density
0,318857056,3531905.43,87.4
1000,4849377,50645.33,94.4
1001,55395,594.44,91.8
1003,200111,1589.78,114.6
1005,26887,884.88,31
1007,22506,622.58,36.8
1009,57719,644.78,88.9
1011,10764,622.81,17.5
1013,20296,776.83,27
1015,115916,605.87,195.7
1017,34076,596.53,57.4
1019,26037,553.7,46.9
1021,43931,692.85,63
1023,13323,913.5,15.2
1025,24945,1238.47,20.9
1027,13552,603.96,23.1
1029,15080,560.1,26.7
1031,50909,678.97,73.6
1033,54543,592.62,91.8
1035,12670,850.16,15.6
1037,10886,650.93,17.7
1039,37914,1030.46,36.6
1041,13977,608.84,22.8
1043,81289,734.84,109.4
1045,49484,561.15,89.6
1047,41711,978.7,44.8
1049,71065,777.09,91.5
1051,80977,618.49,128.2
1053,37733,945.08,40.5
1055,103531,534.99,195.2
1057,16874,627.66,27.5
1059,31601,633.82,50
1061,26712,574.41,46.6
1063,8553,647.11,14
1065,15184,643.94,24.5
1067,17190,561.75,30.8
1069,104193,579.82,175.1
1071,52665,1077.87,49.4
1073,660793,1111.28,592.5
1075,14086,604.85,24.1
1077,93096,667.7,138.8
1079,33477,690.68,49.7
1081,154255,607.54,230.8
1083,90787,559.94,147.8
1085,10580,715.91,15.8
1087,19425,608.89,35.2
1089,350299,801.59,417.7
1091,20110,976.88,21.5
1093,30271,742.29,41.5
1095,94636,565.84,164.4
1097,415123,1229.44,335.9
1099,21947,1025.68,22.5
1101,226189,784.25,292.5
1103,119607,579.34,206.3
1105,9826,719.66,14.7
1107,20365,881.41,22.4
1109,33389,672.09,48.9
1111,22539,580.55,39.5
1113,59608,641.14,82.6
1115,86697,631.9,132.3
1117,206655,784.93,248.5
1119,13166,903.89,15.2
1121,81322,736.78,111.7
1123,41165,716.52,58.1
1125,202212,1321.76,147.3
1127,65471,791.19,84.7
1129,16834,1080.21,16.3
1131,11098,888.5,13.1
1133,24150,612.98,39.9
2000,736732,570640.95,1.2
2013,3360,6981.94,0.4
2016,5750,4390.28,1.3
2020,301010,1704.68,171.2
2050,17868,40570,0.4
2060,957,503.84,2
2068,1921,12751.41,0.1
2070,4988,18568.78,0.3
2090,99357,7338.21,13.3
2100,2566,2318.6,1.1
2105,2082,7524.92,0.3
2110,32406,2701.93,11.6
2122,57477,16075.33,3.4
2130,13787,4858.41,2.8
2150,13986,6549.58,2.1
2164,1631,23652.01,0.1
2170,97882,24607.9,3.6
2180,9817,22961.76,0.4
2185,9703,88695.41,0.1
2188,7717,35572.58,0.2
2195,3160,3281.98,1.2
2198,6396,3922.87,1.4
2220,8900,2870.34,3.1
2230,1036,452.33,2.1
2240,6931,24768.81,0.3
2261,9488,34239.88,0.3
2270,8010,17081.43,0.4
2275,2364,2541.48,0.9
2282,635,7649.46,0.1
2290,5547,145504.79,0
4000,6731484,113594.08,56.3
4001,71828,11197.52,6.4
4003,127448,6165.69,21.3
4005,137682,18618.89,7.2
4007,53119,4757.93,11.3
4009,37957,4622.6,8.1
4011,9346,1843.13,4.6
4012,20231,4499.63,4.6
4013,4087191,9200.14,414.9
4015,203361,13311.08,15
4017,108101,9950.42,10.8
4019,1004516,9187.04,106.7
4021,401918,5365.61,70
4023,46695,1236.92,38.3
4025,218844,8123.5,26
4027,203247,5513.99,35.5
5000,2966369,52035.48,56
5001,18594,988.77,19.2
5003,20948,925.35,23.6
5005,40857,554.28,74.9
5007,242321,847.36,261.2
5009,37196,590.23,62.5
5011,11148,649.23,17.7
5013,5202,628.58,8.5
5015,27744,630.09,43.6
5017,11180,644.3,18.3
5019,22576,866.07,26.6
5021,15118,639.47,25.2
5023,25634,553.69,46.9
5025,8449,597.78,14.5
5027,23933,766.05,32.1
5029,21083,552.25,38.5
5031,102518,707.21,136.4
5033,61697,593.09,104.4
5035,49548,609.76,83.5
5037,17227,616.38,29
5039,7755,667.39,12.2
5041,12264,768.15,16.9
5043,18622,828.36,22.3
5045,120768,647.88,174.8
5047,17805,608.86,29.8
5049,12125,618.19,19.8
5051,97322,677.78,141.7
5053,18144,631.81,28.3
5055,43694,577.7,72.9
5057,22327,727.52,31.1
5059,33368,615.2,53.5
5061,13500,588.55,23.4
5063,36959,763.95,48
5065,13486,580.58,23.6
5067,17534,633.94,28.4
5069,72297,870.75,88.9
5071,26005,659.8,38.7
5073,7111,528.27,14.5
5075,16931,587.61,29.6
5077,9860,602.62,17.3
5079,13970,561.52,25.2
5081,12532,532.25,24.7
5083,21958,708.13,31.6
5085,71557,770.73,88.7
5087,15740,834.26,18.8
5089,16367,597.01,27.9
5091,43428,625.58,69.5
5093,44235,900.57,51.6
5095,7582,607.12,13.4
5097,9082,779.88,12.2
5099,8723,617.84,14.6
5101,7904,820.9,10.1
5103,24828,732.78,35.6
5105,10245,551.4,18.9
5107,19930,695.66,31.3
5109,11024,600.62,18.8
5111,24246,758.39,32.4
5113,20225,857.68,24.1
5115,63201,812.55,76
5117,8304,647.96,13.4
5119,392702,759.76,503.8
5121,17571,652.19,27.6
5123,26899,634.77,44.5
5125,115719,723.6,148
5127,10693,892.32,12.6
5129,7929,666.1,12.3
5131,126776,531.91,236.4
5133,17426,565.13,30.2
5135,16906,604.44,28.6
5137,12494,606.41,20.4
5139,40227,1039.21,40.1
5141,16851,708.14,24.4
5143,220792,941.97,215.6
5145,78592,1035.08,74.5
5147,6910,586.79,12.4
5149,21951,929.98,23.9
6000,38802500,155779.22,239.1
6001,1610921,739.02,2043.6
6003,1116,738.33,1.6
6005,36742,594.58,64.1
6007,224241,1636.46,134.4
6009,44624,1020.01,44.7
6011,21419,1150.73,18.6
6013,1111339,715.94,1465.2
6015,27212,1006.37,28.4
6017,183087,1707.88,106
6019,965974,5957.99,156.2
6021,27955,1313.95,21.4
6023,134809,3567.99,37.7
6025,179091,4176.6,41.8
6027,18410,10180.88,1.8
6029,874589,8131.92,103.3
6031,150269,1389.42,110.1
6033,64184,1256.46,51.5
6035,31749,4541.18,7.7
6037,10116705,4057.88,2419.6
6039,154548,2137.07,70.6
6041,260750,520.31,485.1
6043,17682,1448.82,12.6
6045,87869,3506.34,25.1
6047,266353,1934.97,132.2
6049,9023,3917.77,2.5
6051,13997,3048.98,4.7
6053,431344,3280.6,126.5
6055,141667,748.36,182.4
6057,98893,957.77,103.1
6059,3145515,790.57,3807.7
6061,371694,1407.01,247.6
6063,18606,2553.04,7.8
6065,2329271,7206.48,303.8
6067,1482026,964.64,1470.8
6069,58267,1388.71,39.8
6071,2112619,20056.94,101.5
6073,3263431,4206.63,735.8
6075,852469,46.87,17179.1
6077,715597,1391.32,492.6
6079,279083,3298.57,81.7
6081,758581,448.41,1602.2
6083,440668,2735.09,155
6085,1894605,1290.1,1381
6087,271804,445.17,589.4
6089,179804,3775.4,46.9
6091,3003,953.21,3.4
6093,43628,6277.89,7.2
6095,431131,821.77,503
6097,500292,1575.85,307.1
6099,531997,1494.83,344.2
6101,95847,602.41,157.3
6103,63067,2949.71,21.5
6105,13170,3179.25,4.3
6107,458198,4824.22,91.7
6109,53831,2220.88,24.9
6111,846178,1843.13,446.7
6113,207590,1014.69,197.9
6115,73966,631.84,114.2
8000,5355866,103641.89,48.5
8001,480718,1167.65,378.2
8003,16177,722.64,21.4
8005,618821,798.1,716.7
8007,12244,1350.18,8.9
8009,3645,2554.97,1.5
8011,5630,1512.86,4.3
8013,313333,726.29,405.6
8014,62138,33.03,1691.9
8015,18363,1013.4,17.6
8017,1871,1778.28,1
8019,9187,395.23,23
8021,8265,1287.39,6.4
8023,3568,1226.95,2.9
8025,5360,787.42,7.4
8027,4361,738.63,5.8
8029,29870,1142.05,27.1
8031,663862,153,3922.6
8033,1978,1067.05,1.9
8035,314638,840.25,339.7
8037,52921,1684.53,31
8039,24195,1850.85,12.5
8041,663519,2126.8,292.6
8043,46502,1533.07,30.5
8045,57461,2947.56,19.1
8047,5851,149.9,36.3
8049,14546,1846.33,8
8051,15725,3239.1,4.7
8053,786,1117.25,0.8
8055,6462,1591,4.2
8057,1396,1613.72,0.9
8059,558503,764.21,699.5
8061,1402,1767.77,0.8
8063,8072,2160.82,3.8
8065,7357,376.91,19.4
8067,53989,1692.08,30.3
8069,324122,2596,115.4
8071,14052,4772.67,3.2
8073,5510,2577.63,2.1
8075,22524,1838.55,12.4
8077,148255,3328.97,44.1
8079,698,875.67,0.8
8081,12928,4743.29,2.9
8083,25772,2029.53,12.6
8085,40873,2240.7,18.4
8087,28328,1280.43,22
8089,18488,1261.96,14.9
8091,4629,541.59,8.2
8093,16345,2193.85,7.4
8095,4363,687.93,6.5
8097,17626,970.7,17.7
8099,12034,1638.4,7.7
8101,161875,2386.1,66.7
8103,6707,3220.93,2.1
8105,11607,911.96,13.1
8107,23865,2362.03,10
8109,6196,3168.53,1.9
8111,720,387.49,1.8
8113,7840,1286.61,5.7
8115,2348,548.04,4.3
8117,29404,608.36,46
8119,23389,557.06,41.9
8121,4780,2518.03,1.9
8123,277670,3987.24,63.4
8125,10202,2364.41,4.2
9000,3596677,4842.36,738.1
9001,945438,624.89,1467.2
9003,897985,735.1,1216.2
9005,184993,920.56,206.3
9007,164943,369.3,448.6
9009,861277,604.51,1426.7
9011,273676,664.88,412.2
9013,151367,410.21,372.2
9015,116998,512.91,230.9
10000,935614,1948.54,460.8
10001,171987,586.18,276.9
10003,552778,426.29,1263.2
10005,210849,936.08,210.6
11000,658893,61.05,9856.5
11001,658893,61.05,9856.6
12000,19893297,53624.76,350.6
12001,256380,875.02,282.7
12003,27093,585.23,46.3
12005,178985,758.46,222.6
12007,26702,293.96,97
12009,556885,1015.66,535
12011,1869235,1209.79,1444.9
12013,14532,567.33,25.8
12015,168474,680.28,235.2
12017,139377,581.7,242.8
12019,199798,604.36,315.8
12021,348777,1998.32,160.9
12023,67857,797.57,84.7
12027,35012,637.06,54.7
12029,15907,705.05,23.3
12031,897698,762.19,1133.9
12033,310659,656.46,453.4
12035,102408,485.46,197.1
12037,11815,534.73,21.6
12039,46281,516.33,89.8
12041,16997,349.68,48.4
12043,13635,806.01,16
12045,15944,564.01,28.1
12047,14048,513.79,28.8
12049,27469,637.78,43.5
12051,38505,1152.75,34
12053,175855,472.54,365.6
12055,98236,1016.62,97.2
12057,1316298,1020.21,1204.9
12059,19650,478.78,41.6
12061,144755,502.87,274.5
12063,48801,917.76,54.2
12065,14050,598.1,24.7
12067,8835,543.41,16.3
12069,315690,938.38,316.6
12071,679513,784.51,788.7
12073,283988,666.85,413.1
12075,39613,1118.21,36.5
12077,8360,835.56,10
12079,18518,695.95,27.6
12081,351746,742.93,434.5
12083,339167,1584.55,209.1
12085,153392,543.46,269.2
12086,2662874,1897.72,1315.5
12087,77136,983.28,74.3
12089,76619,648.64,113
12091,196512,930.25,194.4
12093,39149,768.91,52
12095,1253001,903.43,1268.5
12097,310211,1327.45,202.4
12099,1397710,1969.76,670.2
12101,485331,746.89,622.2
12103,938098,273.8,3347.5
12105,634638,1797.84,334.9
12107,72143,727.62,102.2
12109,217919,600.66,316.4
12111,291028,571.93,485.7
12113,163422,1011.61,149.6
12115,396962,555.87,682.6
12117,442516,309.22,1367
12119,114350,546.93,170.8
12121,44022,688.55,60.3
12123,22582,1043.31,21.6
12125,15190,243.56,63.8
12127,507531,1101.03,449.2
12129,31432,606.42,50.8
12131,61530,1037.63,53
12133,24451,582.8,42.7
13000,10097343,57513.49,168.4
13001,18540,507.08,36
13003,8223,339.38,24.7
13005,11281,258.58,42.9
13007,3255,341.94,10.1
13009,45909,257.84,177.3
13011,18295,232.09,79.3
13013,73240,160.31,432.7
13015,101736,459.54,217.9
13017,17464,250.12,70.5
13019,18700,451.9,42.7
13021,153905,249.76,622.8
13023,12795,215.87,60.5
13025,18417,442.36,41.6
13027,15418,493.05,32.9
13029,33906,435.97,69.3
13031,72087,672.81,104.4
13033,22709,826.97,28.2
13035,23368,184.39,128.3
13037,6463,280.37,23.9
13039,52027,613.03,82.4
13043,10888,243.04,45.3
13045,114093,499.08,221.5
13047,65621,162.16,394.3
13049,12897,773.58,15.7
13051,283379,426.44,621.7
13053,11837,248.74,45.3
13055,24939,313.34,83
13057,230985,421.67,508.3
13059,120938,119.2,979.1
13061,3102,195.38,16.3
13063,267542,141.57,1832.5
13065,6831,800.22,8.5
13067,730981,339.55,2026.4
13069,42811,575.1,73.7
13071,46102,544.15,83.6
13073,139257,290.09,427.6
13075,17214,227.16,75.8
13077,135571,440.89,288.8
13079,12387,324.89,38.9
13081,22934,272.58,86
13083,16389,173.98,95.6
13085,22957,210.83,105.9
13087,27220,597.14,46.6
13089,722161,267.58,2585.7
13091,20976,495.89,44
13093,14188,391.94,38.1
13095,92407,328.69,287.7
13097,138776,200.07,661.8
13099,10491,512.59,21.5
13101,4003,414.89,9.7
13103,55423,477.7,109.4
13105,19438,351.06,57.4
13107,22755,680.6,33.2
13109,10898,182.85,60.2
13111,23753,386.72,61.2
13113,109664,194.34,548.3
13115,96063,509.91,188.9
13117,204302,224.02,783.5
13119,22264,261.5,84.5
13121,996319,526.64,1748
13123,28829,426.54,66.3
13125,3053,143.74,21.4
13127,82175,419.75,189.7
13129,56047,355.81,155.1
13131,25359,454.53,55
13133,16490,387.44,41.3
13135,877922,430.38,1871.2
13137,43752,276.74,155.5
13139,190761,392.78,457.5
13141,8509,471.84,20
13143,28641,282.17,102
13145,32876,463.87,69
13147,25377,232.39,108.5
13149,11603,296.03,40
13151,213869,322.13,633
13153,149111,375.54,372.5
13155,9104,354.34,26.9
13157,61870,339.66,178.1
13159,13432,368.17,37.8
13161,14859,330.74,45.6
13163,16272,526.49,32.2
13165,9125,347.28,24
13167,9701,303.01,32.9
13169,28787,393.93,72.8
13171,18207,183.5,99.8
13173,10373,185.26,54.4
13175,47851,807.3,60
13177,29191,355.78,79.5
13179,65198,489.8,129.5
13181,7622,210.38,38
13183,17113,400.29,36.1
13185,113523,496.07,220.2
13187,31176,282.93,105.9
13189,21370,257.46,85
13191,14214,424.3,33.8
13193,13792,400.64,36.8
13195,28312,282.31,99.6
13197,8797,366,23.9
13199,21198,501.22,43.9
13201,5958,282.42,21.7
13205,22771,512.09,45.9
13207,27051,395.66,66.8
13209,8991,239.52,38.1
13211,17956,347.35,51.4
13213,39410,344.47,115
13215,200887,216.39,877.5
13217,103675,272.16,367.3
13219,35093,184.29,178
13221,14673,439.01,33.9
13223,148987,312.22,455.8
13225,26922,150.27,184.3
13227,29997,232.06,126.8
13229,18991,316.49,59.3
13231,17784,216.09,82.7
13233,41133,310.33,133.6
13235,11483,249.03,48.2
13237,21192,344.64,61.6
13239,2315,151.24,16.6
13241,16243,369.99,44
13243,7313,428.24,18
13245,201368,324.33,618.4
13247,87754,129.79,656.5
13249,5163,166.91,30
13251,14085,645.1,22.6
13253,8686,235.23,37.1
13255,63988,196.47,326.1
13257,25480,179.13,146.1
13259,5744,458.73,13.2
13261,31232,482.7,68
13263,6390,391.39,17.5
13265,1693,194.61,8.8
13267,25224,479.4,53.2
13269,8442,376.69,23.6
13271,16518,437.3,37.7
13273,9132,335.44,27.8
13275,44959,544.6,82.1
13277,40704,258.92,154.9
13279,27282,364.01,74.8
13281,11098,166.56,62.9
13283,6778,199.44,34.5
13285,69469,413.99,161.9
13287,8153,285.39,31.3
13289,8320,358.4,25.2
13291,21984,321.93,66.3
13293,26256,323.44,84
13295,68218,446.38,154
13297,87615,325.68,257.2
13299,35515,892.46,40.7
13301,5520,284.3,20.5
13303,20635,678.45,31.2
13305,29949,641.78,46.9
13307,2649,209.12,13.4
13309,7995,295.48,25.1
13311,27970,240.69,112.8
13313,103542,290.46,353.2
13315,8847,377.71,24.5
13317,9940,469.49,22.6
13319,9326,447.31,21.4
13321,20940,570.7,38
15000,1419561,6422.63,211.8
15001,194190,4028.42,45.9
15003,991788,600.74,1586.7
15005,89,11.99,7.5
15007,70475,619.96,108.2
15009,163019,1161.52,133.3
16000,1634464,82643.12,19
16001,426236,1052.58,372.8
16003,3861,1363.06,2.9
16005,83347,1111.99,74.5
16007,5957,974.79,6.1
16009,9118,776.62,12
16011,45269,2093.98,21.8
16013,21482,2643.59,8.1
16015,6824,1899.24,3.7
16017,41585,1734.57,23.6
16019,108623,1866.08,55.9
16021,10979,1268.56,8.6
16023,2622,2231.67,1.3
16025,1039,1074.49,1
16027,203143,587.37,321.6
16029,6837,1764.15,3.9
16031,23540,2565.08,8.9
16033,867,1764.19,0.6
16035,8562,2457.27,3.6
16037,4140,4920.94,0.9
16039,26094,3074.74,8.8
16041,13021,663.65,19.3
16043,12867,1863.53,7.1
16045,16866,560.9,29.8
16047,15064,728.97,21.2
16049,16215,8477.35,1.9
16051,27021,1093.5,23.9
16053,22818,597.19,37.5
16055,147326,1244.13,111.3
16057,38411,1076,34.6
16059,7726,4563.39,1.7
16061,3838,478.8,8
16063,5316,1201.41,4.3
16065,38038,469.21,80
16067,20323,757.59,26.5
16069,40007,848.09,46.3
16071,4184,1200.06,3.6
16073,11353,7665.51,1.5
16075,22836,406.87,55.6
16077,7617,1404.24,5.6
16079,12390,2629.67,4.9
16081,10341,449.46,22.6
16083,80914,1921.21,40.2
16085,9826,3664.52,2.7
16087,10021,1452.98,7
17000,12880580,55518.93,231.1
17001,66988,855.2,78.5
17003,7492,235.51,35
17005,17269,380.28,46.7
17007,53869,280.72,193
17009,6832,305.61,22.7
17011,33840,869.03,40.2
17013,4956,253.83,20
17015,14715,444.81,34.6
17017,13156,375.82,36.3
17019,207133,996.27,201.8
17021,33892,709.38,49.1
17023,16180,501.42,32.6
17025,13520,468.32,29.5
17027,37857,474.09,79.7
17029,53320,508.29,106
17031,5246456,945.33,5495.1
17033,19393,443.63,44.7
17035,10833,346.02,31.9
17037,105462,631.31,166.6
