state_id,state,mk_area
1,Alabama,southeastern
2,Alaska,western
4,Arizona,west-central
5,Arkansas,south-central
6,California,western
8,Colorado,west-central
9,Connecticut,eastern
10,Delaware,eastern
11,District of Columbia,eastern
12,Florida,florida
13,Geogia,southeastern
15,Hawaii,western
16,Idaho,western
17,Illinois,north-central
18,Indiana,north-central
19,Iowa,west-central
20,Kansas,south-central
21,Kentucky,southeastern
22,Louisiana,south-central
23,Maine,eastern
24,Maryland,eastern
25,Massachusetts,eastern
26,Michigan,north-central
27,Minnesota,west-central
28,Mississippi,southeastern
29,Missouri,south-central
30,Montana,western
31,Nebraska,west-central
32,Nevada,west-central
33,New Hampshire,eastern
34,New Jersey,eastern
35,New Mexico,west-central
36,New York,eastern
37,North Carolina,eastern
38,North Dakota,west-central
39,Ohio,north-central
40,Oklahoma,south-central
41,Oregon,western
42,Pennsylvania,eastern
44,Rhode Island,eastern
45,South Carolina,southeastern
46,South Dakota,west-central
47,Tennessee,southeastern
48,Texas,south-central
49,Utah,west-central
50,Vermont,eastern
51,Virginia,eastern
53,Washington,western
54,West Virginia,eastern
55,Wisconsin,west-central
56,Wyoming,west-central
